id,cd,emd
04379243/496b37559f4ac973b9fd3978c6bb311c,0.008968605,0.005527293
04379243/ec4675f62f6946118cbb8bac2032149c,0.005555759,0.0033736432
04379243/9c1b0058dfe027cbf519adc9991b5f11,0.004963615,0.0011856066
04379243/f27a1f3db59556cba0ab1d82ef09f78f,0.013841204,0.0026781044
04379243/c91c78e14fccbab316a2b5862518c93,0.008952473,0.0034842868
04379243/ce803beb471c728a4f5f1d630285ffb,0.008920449,0.0030519534
04379243/4e48be33083b8c70d810b14a81e12eca,0.009973964,0.0025743984
04379243/184c944daf00dc9919fb4103277a6b93,0.006246454,0.0016608381
04379243/d31b0d2a41051f2c7b79156a61ad4c01,0.00523837,0.0019381809
04379243/7988c8f23dc634678de5f815e8387cfc,0.007254013,0.004969988
04379243/79d0985603f7ff3be6c5cd45aa112726,0.006023555,0.0019946175
04379243/7affe342bb9be16d5936c7265c890fef,0.0047837617,0.0034412434
04379243/6b2edba33e92b96998fc1d0403f6ad0,0.004915772,0.0020021377
04379243/80ef50d3e67bfa8783ca982ecb7c4900,0.0039784927,0.00131936
04379243/fb2191ec35ad66da30bbd4cddd04c77b,0.0064479993,0.003398034
04379243/4b2119939de4f6e892cc1f9d231c0f76,0.008848563,0.0018546382
04379243/fed87d16ece9ac0ad42ec7e303174a87,0.004381246,0.0021027168
04379243/664c6792448950dec19dc7c5f46bbf55,0.00947503,0.0026722061
04379243/40a7ed7ce8ba70fa4ddda47ee90d6a21,0.004239483,0.0017204501
04379243/21009983c23be33dde39a695c03bae3a,0.0063355803,0.0032937354
04379243/dd63ad97240a5744a022be8e8ae85897,0.008057361,0.0035082905
04379243/608af07bd357d605f155d75bbf62b80,0.008403532,0.003566895
04379243/c5d499a443ef70906b882130fa92c175,0.009652011,0.004333868
04379243/49e0fb5a2318e4c1b0a15036380e635e,0.010191639,0.002999295
04379243/ad61a5bc7cba29b88cc413950b617e8f,0.009682928,0.002171328
04379243/6d0ef6312f8af87a53e946fb2184f0c4,0.006784358,0.0024595193
04379243/1bab21890e560d54d5cb6d178687b980,0.007523942,0.0028532476
04379243/df63a11436240ec7fb906a2c84fd375f,0.005934774,0.0024617256
04379243/1bc326fc94e0cfc1cf5a37a70014c623,0.00576328,0.002527606
04379243/8b835170d8123a1dcf004563556ddb36,0.0052426485,0.0030519746
04379243/dcda90e411cb4e35506d1e1cc84da713,0.0076477146,0.0039105257
04379243/30a525c7bd5ee80192b396ed960b67ad,0.009700598,0.0023307698
04379243/a465210c23b0136d7afee304cce81d6f,0.009798308,0.003576844
04379243/bb9304218d9741489ccce4c6d5bb195f,0.0065278937,0.0028903096
04379243/dcca76b81c747e76a65e19246f8119cb,0.0052405526,0.0016513562
04379243/687c7be604090bf89cd431573238602d,0.0040983083,0.0021928933
04379243/b00d6677641be37dbeedb4c8fd29e2d1,0.0049431864,0.0033502004
04379243/933096cbd0f7ef0aa73562d75299fcd8,0.006381832,0.0024517095
04379243/a06fa6a604ddc974ccd77b10347fd7d3,0.0076368065,0.0033289613
04379243/15c833aeea88fb19f428c5b66db689e3,0.01797282,0.0031713273
04379243/8343d98e3710f5bee1b32bbe69d5bc15,0.0115224,0.0056410846
04379243/974cc395f9684d47c955e5ed03ef3a2f,0.0043382673,0.0030558873
04379243/d58af24ca497ba8c4b3c42e318f3affc,0.0053100083,0.0017820946
04379243/5b5095b6d5612d298877c667ba5c2021,0.011458062,0.0022111682
04379243/2aa624d7f91a5c16193d9e76bb15876,0.010026764,0.0031675796
04379243/9fd065502f87d1f4c2cd59b38b35eb54,0.0042419382,0.0024583833
04379243/8af2d1420ac255be490ad276cd2af3a4,0.005547031,0.0032260288
04379243/a6ffc5d46a146796ac4c0903ae810430,0.0053974125,0.002955858
04379243/668deaeb91295739664b3b9b23ddfcbc,0.0053201355,0.003466579
04379243/6fa2751d57a4ee44490ad276cd2af3a4,0.009287936,0.0026635292
04379243/7cd2c11133d7470db9278b13f52df097,0.00891834,0.0034319696
04379243/1dc7f7d076afd0ccf11c3739edd52fa3,0.008202703,0.0018408577
04379243/161b5260bcc6f8fc9befe610bb4b9f25,0.0060928743,0.0024869153
04379243/7e1c4bdfbf19aa22d3cf0d40743efc0b,0.0076002353,0.0025980459
04379243/36a14a47b91d7c42f51f77a6d7299806,0.0049240766,0.0029872109
04379243/ffe4383cff6d000a3628187d1bb97b92,0.008411907,0.0042555914
04379243/f46f68598988b922eede8c01bbe6592b,0.0037859215,0.0014709965
04379243/16ecdb0dcbd419ce30bbd4cddd04c77b,0.008430782,0.003424003
04379243/894e095c7036c8411933ffef19678834,0.011639642,0.001937013
04379243/6913ad01e9b00c4ca6c03a53cf0a14c9,0.008603217,0.0037261213
04379243/45f04dd3dfbc4926d42ec7e303174a87,0.0061930986,0.0017848262
04379243/178eced0bff71d3653e946fb2184f0c4,0.008528441,0.0023858089
04379243/f090d4f5e82b3c25f63a1cc836eff7a,0.0053772535,0.0019227053
04379243/7a488c92c601f83c821340ef6a9a830d,0.0042129494,0.0020596466
04379243/dd0c4018a8b310edafaeb6535dda1ed,0.005057458,0.0028215635
04379243/2b1747c389f4d4f1ebadcdfba7971b71,0.007113417,0.0016378055
04379243/151c68b48a1359c58566c6c3bc94c70c,0.0056467867,0.0019713428
04379243/5d90c1e74acbae27475bcdf5ead5bfb9,0.008716614,0.0028010039
04379243/1c8121e1ad6cd6fc7a480f3f1d55ed3f,0.010570173,0.0018116945
04379243/76206b183e39910a1c6b880f91673ae8,0.006362469,0.0035883484
04379243/27a90972dfe64be5c3bd24f986301745,0.008127475,0.0036093337
04379243/7b22287c9a2ad418b9deee229eae6efa,0.0077033965,0.0034358117
04379243/43906b48471bc76e7571d17c374fac42,0.008072193,0.0030765238
04379243/aabcb5d610e76ff19ca02c396af0c503,0.010257619,0.002136659
04379243/211d17b0424b10c539d3717288022c20,0.006506116,0.0035831726
04379243/f27eba536ca8d428eb1f243bab39fb29,0.0049025835,0.0021685082
04379243/9eba16c76875225a2d69ef58c7c1b72c,0.014179274,0.003781284
04379243/5bcb0976657fe6df37b2bb75885cfc44,0.004740471,0.0025784627
04379243/8f841c9a11ad77a6794a9f593d938882,0.017016936,0.0025859561
04379243/7dea0c96340d5b9455f46d55537192b6,0.005376802,0.0035406856
04379243/14ba2a965791a003b37e6e0c89177ef9,0.0068823844,0.0025103795
04379243/a224010a537bc683104e417f71823787,0.010578488,0.0017766539
04379243/495db04c204196ec47c638c0eee4a2b3,0.012751623,0.00473423
04379243/fb59360b5cfb54ac6f74453f2a3da519,0.009168652,0.0038071175
04379243/16d5d43e2e90be359bac1502ed0eb150,0.004492404,0.0018326219
04379243/743d8382aa44117e593ebeeedbff73b,0.0056062457,0.0024855258
04379243/8a98eb9c64d878dd419786e9c37fabbe,0.009056749,0.0047601857
04379243/cc05a1835e7edda1c02daa819b61338,0.0064447643,0.0014604782
04379243/b977915b93e87cbdd724c69102d5ef2,0.0059675626,0.0030761359
04379243/51b4537837adf046fec95a1eac04b338,0.0051295958,0.0013957405
04379243/146ecd9d7712eb81e6c5cd45aa112726,0.007168116,0.0015255662
04379243/6ace903899706a5819fb4103277a6b93,0.013229313,0.0041811443
04379243/6358336cbeedb9232d9fe390e23fd20f,0.005036275,0.0035075243
04379243/44f0353cdb820886be25fbd47cafc694,0.0069689346,0.003119734
04379243/153d0c95cd2981a46a76e23e6f966dea,0.007778854,0.00560839
04379243/88676c2f87a5b54c4500047017815f5f,0.006940758,0.0035638895
04379243/459f1e82f058fbd0ca42ad68b92de4c8,0.016245104,0.0034655037
04379243/5a3789ede7e60884e35c5921850b7bf,0.0056795874,0.0035771509
04379243/1d06d1bc8f10c45ab1732c7d45a02ba0,0.0052784677,0.0016331961
04379243/ddb20a7778038d87f51f77a6d7299806,0.01063577,0.0033625762
04379243/44360c91a7e91098d93768e7b9b1eabf,0.0073025553,0.0042457297
04379243/fad62f2339aefa8f9d86e5f05f1da2b7,0.008240405,0.0040362356
